,squareMeters,numberOfRooms,hasYard,hasPool,cityCode,cityPartRange,numPrevOwners,bathroom,price,price_per_sqft
0,75523,3,0,1,9373,3,8,7,7559081.5,10008979.383763887
1,80771,39,1,1,39381,8,6,2,8085989.5,10011005.806539476
2,55712,58,0,1,34457,6,8,9,5574642.1,10006178.381677197
3,32316,47,0,0,27939,10,4,3,3232561.2,10002974.378017081
4,70429,19,1,1,38045,3,7,4,7055052.0,10017254.256059295
5,39223,36,0,1,39489,8,6,1,3926647.2,10011083.292965861
6,58682,10,1,1,6450,10,9,5,5876376.5,10013933.574179476
7,86929,100,1,0,98155,3,4,10,8696869.3,10004566.140183369
8,51522,3,0,0,9047,8,3,5,5154055.2,10003600.791894725
9,39686,42,0,0,71019,5,8,3,3970892.1,10005775.588368693
10,23563,21,0,1,91058,6,8,10,2366397.3,10042852.353265712
11,96470,74,1,0,92029,4,2,9,9652258.1,10005450.502746968
12,19127,31,1,0,7475,2,9,4,1914688.8,10010397.866889738
13,13087,44,1,0,40475,8,4,0,1320803.4,10092484.144570947
14,79770,3,0,1,54812,10,5,7,7986665.8,10012117.086624045
15,75985,60,1,0,6517,6,9,5,7607322.9,10011611.370665263
16,64169,88,0,1,61711,3,9,9,6420823.1,10006113.699761568
17,99371,31,1,1,96297,7,8,8,9944705.3,10007653.440138472
18,25966,37,1,1,22818,3,1,6,2604486.6,10030372.795193715
19,41792,43,1,1,80768,9,5,5,4187667.7,10020261.53330781
20,28795,64,1,1,97667,3,4,0,2888047.9,10029685.362042021
21,92383,12,0,0,71982,3,7,1,9244344.0,10006542.329216415
22,33279,64,1,0,91690,3,2,1,3333351.9,10016382.403317407
23,34782,47,0,0,35331,1,4,2,3482594.0,10012632.971076993
24,13386,51,0,0,87978,4,6,4,1342509.3,10029204.392649036
25,20883,56,0,0,85377,5,9,10,2091505.8,10015351.242637552
26,95121,46,0,1,9382,7,9,10,9515440.4,10003511.73768148
27,6071,72,1,0,8410,2,6,2,612471.3,10088474.715862297
28,11844,43,0,0,46144,6,5,10,1189939.3,10046768.828098616
29,52078,7,1,1,20372,10,4,5,5217708.6,10019026.460309535
30,25897,98,1,0,20344,2,4,10,2598763.3,10034997.490056762
31,85443,40,1,1,339,3,1,2,8555234.1,10012796.9523542
32,11412,78,0,0,73807,1,5,0,1145642.9,10038931.826147914
33,97550,89,1,1,78155,2,5,0,9765099.4,10010353.049718093
34,76485,47,1,0,90254,2,9,1,7653300.8,10006276.786297968
35,26169,29,0,0,66489,9,7,9,2622399.3,10021014.55921128
36,24239,87,1,0,73056,4,7,3,2427801.8,10016097.19872932
37,36239,8,0,1,66771,7,6,5,3627708.0,10010508.016225614
38,10500,88,0,1,10533,10,1,5,1057021.3,10066869.523809524
39,87060,27,0,1,51803,8,10,7,8711426.0,10006232.48334482
40,66683,19,1,1,50801,6,2,3,6677649.1,10014020.215047313
41,66569,59,1,1,15574,7,9,10,6667802.6,10016377.893614145
42,84559,29,0,1,53057,7,7,8,8460604.0,10005562.979694651
43,28749,39,0,1,80821,6,5,3,2877997.6,10010774.6356395
44,76091,38,1,0,59451,5,8,7,7614076.6,10006540.326714067
45,92696,49,1,0,74381,9,2,2,9272740.1,10003387.52481229
46,46988,66,1,1,4863,9,10,4,4707341.1,10018177.194177235
47,48062,22,0,1,28104,1,10,1,4809993.8,10007893.554159211
48,5767,97,1,1,44551,7,3,4,586742.8,10174142.535113579
49,59800,47,0,1,44815,6,9,4,5984462.1,10007461.70568562
50,54836,25,0,1,64601,10,5,6,5492532.0,10016288.569552848
51,54318,10,1,1,76737,4,2,1,5444967.8,10024242.056040354
52,70021,52,1,0,95678,4,6,1,7005572.2,10004958.798074864
53,54368,11,1,1,55761,3,7,8,5446398.1,10017653.950853443
54,31421,29,0,1,67505,5,3,5,3147829.9,10018235.893192451
55,63053,6,1,1,45312,3,1,8,6315375.7,10015979.731337128
56,4187,89,0,1,7488,1,6,2,421906.4,10076579.890136136
57,33108,82,0,1,52015,6,10,2,3316069.6,10015916.394829044
58,64393,8,0,0,95335,4,1,6,6441378.0,10003227.0588418
59,93876,60,0,1,5484,2,1,8,9390891.9,10003506.647066344
60,67040,60,1,1,1690,4,8,0,6714247.3,10015285.35202864
61,47938,17,0,0,64247,7,1,8,4797883.3,10008517.877258126
62,39090,57,1,0,2922,4,9,6,3917691.0,10022233.307751343
63,43609,66,0,0,6739,4,9,7,4364910.5,10009196.49613612
64,41998,74,1,0,32039,6,1,9,4203344.0,10008438.497071289
65,36496,9,0,1,51526,5,1,0,3656368.7,10018546.416045595
66,84016,15,1,0,63595,1,7,2,8410054.6,10010063.083222244
67,3087,27,1,1,9283,3,10,1,321717.5,10421687.72270813
68,89768,48,1,1,71000,6,9,7,8980518.3,10004142.12191427
69,30226,74,1,1,71053,10,9,4,3039243.7,10055064.183153577
70,58478,5,0,1,5898,6,10,7,5853710.6,10010107.39081364
71,66621,48,0,0,52165,10,1,4,6666403.5,10006459.674877292
72,73314,43,0,1,49895,10,1,8,7336538.8,10007009.302452466
73,59972,28,0,1,32083,9,8,4,6000826.1,10006046.321616754
74,71591,20,1,0,46834,7,4,0,7165980.8,10009611.263985697
75,92462,52,1,1,22405,9,6,8,9257840.9,10012589.92883563
76,52325,60,1,1,76804,6,5,4,5238533.2,10011530.243669374
77,67311,67,0,0,45626,3,3,5,6732249.0,10001707.001827339
78,45050,99,0,1,20318,4,8,3,4508695.3,10008202.663706992
79,61534,73,1,0,22943,9,5,6,6159875.1,10010522.800403029
80,84091,50,0,1,22718,7,5,8,8414104.3,10005951.05302589
81,77579,69,1,1,88798,6,1,8,7767797.9,10012758.478454221
82,25204,31,1,1,87552,4,10,6,2530488.0,10040025.392794795
83,42059,46,0,1,43289,6,3,3,4212125.7,10014802.301528804
84,38430,43,0,1,3406,6,4,8,3846214.1,10008363.51808483
85,7069,4,0,0,55300,9,2,3,709107.9,10031233.554958269
86,34780,75,0,1,67297,4,5,4,3480536.9,10007294.134560091
87,12757,100,1,0,19550,7,8,5,1277834.0,10016728.070863055
88,33749,74,0,1,73976,10,7,2,3380855.9,10017647.63400397
89,600,37,1,0,72736,4,7,1,63402.1,10567016.666666666
90,7239,61,1,0,26435,4,7,4,733776.4,10136433.20900677
91,34919,20,1,1,60113,5,1,2,3499532.7,10021858.300638622
92,25614,29,0,0,52970,4,1,9,2563970.4,10010035.137034435
93,51434,64,0,0,79754,10,2,7,5146226.2,10005494.808881285
94,78960,55,0,1,23408,8,4,0,7900996.5,10006327.887537993
95,70751,64,1,1,92268,1,9,7,7084110.6,10012735.6503795
96,81870,60,0,1,58048,3,8,3,8198185.0,10013661.903016979
97,91559,36,0,1,82521,6,2,8,9161130.7,10005712.928275755
98,72098,9,0,1,91168,2,3,9,7216904.4,10009853.81009182
99,23177,19,0,0,69373,4,1,6,2318776.3,10004643.827932863
100,39517,92,0,0,51212,4,6,9,3953491.9,10004534.50413746
